latitude,longitude,treeid,name,groupuni,groupclust,cluster,strategy,d1,d2,d3,d4,d5
52.361312000,4.949752000,25,T025,,3b,4,3b,0,0,1,1,0
52.361714000,4.949936000,30,T030,1,1,4,1,1,1,1,1,1
52.361641000,4.949884000,31,T031,2b,2b,4,2b,0,1,0,1,0
52.361687000,4.950059000,32,T032,,4b,4,4b,0,1,0,0,0
52.361613000,4.950132000,155,T155,2b,2b,4,2b,0,1,0,1,0
52.361648000,4.949988000,156,T156,1,1,4,1,1,1,1,1,1
52.361788000,4.949547000,157,T157,,3a,4,3a,1,1,0,0,0
52.362085000,4.949189000,158,T158,,4a,4,4a,1,0,0,0,0
52.362022000,4.948888000,159,T159, ,4d,4,4d,0,0,0,1,0
52.362187000,4.948951000,160,T160,,4c,4,4c,0,0,1,0,0
52.362084000,4.948785000,161,T161,,3a,4,3a,1,1,0,0,0
52.361669000,4.948809000,162,T162,,4a,4,4a,1,0,0,0,0
52.361731000,4.948731000,163,T163,,3b,4,3b,0,0,1,1,0
